,Latitude,Longitude,HydroSHEDS_ID,Aridity,Evaporative_index,Elevation,Slope,NDVI
104,36.7698,54.0172,2050065840,0.197693329,0.361946216,416.9813,7.5171,0.53
105,-24.8066,34.1146,1050012550,0.169905168,0.422406017,57.186,1.5701,0.539
106,58.5987,-76.1982,7050026210,0.134932859,0.188619182,136.2302,2.6326,0.184
107,-28.065,-70.6099,6050028120,2.814449819,0.476768864,957.7391,9.0982,0.108
108,45.758,-121.5433,7050394690,0.079129056,0.14136956,736.8404,10.2302,0.689
109,13.2223,-0.0469,1050668760,0.173831743,0.391957394,287.0626,0.5941,0.3
110,17.5636,10.962,1050040880,1.188088012,0.758980499,479.8908,1.7998,0.076
111,51.4894,-126.783,7050017150,0.036118312,0.040997497,818.6476,25.1215,0.552
112,52.5583,-121.7754,7050234050,0.13981124,0.199655692,1116.657,8.9119,0.592
113,69.9063,147.906,3050010470,0.264088042,0.253473684,76.5559,1.8748,0.209
114,-19.7534,125.3693,5050087750,0.277000121,0.39507679,223.924,0.512,0.265
115,-0.0452,-51.4958,6050006540,0.069510787,0.212830241,40.5609,2.2475,0.68
116,49.2188,103.0574,3050696590,0.278721406,0.391377982,1335.3557,10.4585,0.369
117,-6.0867,26.7558,1051259940,0.13295571,0.324605337,642.8326,1.1818,0.681
118,47.9889,17.3358,2050488190,0.133361776,0.420196844,138.7651,1.2246,0.547
119,54.2626,136.3635,4050000250,0.132692308,0.162016679,267.7256,8.8537,0.393
120,37.3335,-114.23,7050633430,0.301374928,0.400176949,1453.1009,7.329,0.28
121,55.626,-77.0351,7050025870,0.114000944,0.158589969,169.3592,4.4393,0.266
122,61.7636,112.3731,3050318180,0.222453386,0.314783426,364.4145,1.477,0.329
123,-30.6948,21.1652,1051626200,0.44918828,0.396432039,1106.1937,1.6492,0.166
124,53.1628,157.3522,3050016150,0.08528015,0.086482973,520.8585,11.5982,0.255
125,10.0288,123.0059,5050027190,0.084899295,0.213088892,227.5287,8.0573,0.602
126,45.1468,96.0529,4050051090,0.911881491,0.378050891,1942.6828,5.4288,0.077
127,72.9092,121.2328,3050008620,0.215539424,0.224040625,43.2819,2.0194,0.163
128,-13.5031,-53.1714,6050532350,0.091418741,0.28578002,391.6451,1.758,0.69
129,18.2752,46.0632,2050984280,0.662280241,0.807997949,809.9796,2.096,0.101
130,66.7502,14.8259,2050036720,0.045526931,0.064657357,458.8559,13.9537,0.258
131,9.6382,32.0449,1050800150,0.183479791,0.388098411,397.3393,0.0978,0.461
132,33.9996,-103.2035,7050075130,0.263946997,0.402075295,1245.7402,0.6119,0.314
133,62.9456,-159.7116,8050005510,0.15599842,0.201257669,134.7506,4.443,0.349
134,38.06,-110.9462,7050607990,0.377413525,0.407889938,1890.9299,8.7637,0.255
135,50.4703,26.3176,2050388040,0.12062448,0.341026862,234.5399,1.6779,0.487
136,-29.574,-57.0232,6050852210,0.085343996,0.28518595,70.5897,0.6732,0.661
137,57.4179,12.9093,2050033020,0.082514726,0.233498285,140.0748,3.0144,0.649
138,21.0263,57.5599,2050077570,0.597125162,0.529908271,111.6852,0.5304,0.069
139,65.4008,-103.1917,8050160010,0.271272848,0.233103887,228.6273,1.486,0.185
140,10.6044,45.8699,1050005730,1.791317568,0.45961879,309.9553,8.6493,0.154
141,19.2062,19.3415,1050044290,4.768358714,0.931758307,534.0912,2.7016,0.082
142,-41.0506,175.318,5050085040,0.084853941,0.305470541,275.2168,12.0819,0.78
143,60.8134,93.2718,3050359860,0.150962911,0.204811567,374.8593,4.7724,0.464
144,68.8725,170.6056,3050011420,0.273926241,0.256487149,1.9049,0.1823,0.19
145,12.6479,27.3212,1050837610,0.258033087,0.396501959,583.2591,0.5536,0.255
146,40.8191,-73.1113,7050064730,0.108649716,0.285222874,22.4028,1.1755,0.467
147,51.7225,30.522,2050400110,0.129533333,0.361170087,124.5773,0.6924,0.556
148,-22.7952,131.5642,5050088140,0.272511527,0.398372992,606.3048,0.9971,0.302
149,50.6664,-88.558,7050237380,0.13960564,0.240859061,342.2616,1.5234,0.549
150,-33.1988,21.7353,1050014920,0.439577942,0.397085751,779.0385,6.98,0.289
151,9.7824,50.5169,1050006860,1.478676189,0.457838773,350.6307,1.8818,0.088
152,53.9146,39.6822,2050323030,0.131641802,0.331702089,159.3202,1.31,0.408
153,54.3887,50.2822,2050332830,0.160697496,0.350748057,124.052,1.1391,0.401
154,57.428,-153.5367,8050019080,0.043843258,0.090477473,258.9453,14.1302,0.323
155,53.9306,120.8039,4050094160,0.20405314,0.297635318,734.9998,6.9034,0.421
156,26.8427,-98.3039,7050049120,0.215577289,0.390870649,77.7915,0.2452,0.472
